customer_id,customer_name,product_category,purchase_amount,delivery_status,payment_status,customer_age,customer_gender,product_rating,shipping_region,loyalty_status,country
1001.0,daniel brown,books,235.0,delivered,completed,27,Female,3.0,east,Platinum,italy
1002.0,jessica jones,unknown,88.0,delivered,completed,49,Male,4.0,south,Gold,france
1003.0,jennifer davis,electronics,103.0,delivered,completed,34,Male,3.0,,Platinum,japan
1004.0,sarah jones,books,122.0,delivered,completed,27,Unknown,3.0,east,Platinum,unknown
1005.0,daniel johnson,books,58.0,delivered,completed,39,Unknown,4.0,east,Standard,mexico
,michael miller,appliances,32.0,delivered,completed,23,Female,2.0,south,Silver,brazil
1007.0,david johnson,electronics,160.15555103700692,delivered,cancelled,43,Male,2.0,west,Platinum,mexico
1008.0,john jones,electronics,287.0,,completed,37,Male,2.0,east,Gold,france
1009.0,jennifer johnson,books,32.0,delivered,completed,18,Male,4.0,north,Standard,spain
1010.0,jennifer smith,clothing,160.15555103700692,delivered,completed,34,Male,4.0,north,Silver,italy
1011.0,john brown,books,76.0,,completed,18,Unknown,4.0,east,Standard,unknown
1012.0,john jones,books,160.15555103700692,cancelled,completed,43,Male,2.0,east,Platinum,germany
1013.0,emily davis,books,160.15555103700692,delivered,completed,43,Male,,,Platinum,china
1014.0,daniel williams,books,192.0,delivered,pending,18,Female,,west,Gold,spain
1015.0,daniel miller,appliances,54.0,delivered,completed,43,Female,2.0,,Gold,china
1016.0,michael williams,electronics,278.0,,completed,43,Unknown,1.0,west,Platinum,japan
1017.0,david smith,appliances,24.0,delivered,completed,62,Female,4.0,west,Platinum,south korea
1018.0,emily smith,unknown,237.0,delivered,completed,60,Female,4.0,east,Gold,canada
1019.0,emily smith,appliances,30.0,,pending,61,Unknown,4.0,east,Silver,south korea
1020.0,sarah williams,books,136.0,delivered,completed,55,Male,2.0,west,Platinum,spain
1021.0,aarav sharma,clothing,160.15555103700692,shipped,completed,60,Male,2.0,south,Gold,india
1022.0,david johnson,electronics,135.0,delivered,,19,Male,1.0,west,Silver,japan
1023.0,,clothing,181.0,delivered,,35,Male,1.0,north,Standard,spain
1024.0,michael davis,appliances,86.0,shipped,completed,43,Female,2.0,east,Platinum,usa
1025.0,john brown,appliances,219.0,delivered,,46,Male,2.0,south,Gold,unknown
1026.0,emily jones,clothing,50.0,shipped,completed,43,Female,2.0,south,Platinum,australia
1027.0,jessica miller,clothing,94.0,delivered,completed,64,Female,4.0,east,Gold,china
1028.0,daniel miller,clothing,256.0,pending,completed,26,Female,1.0,south,Gold,unknown
1029.0,sarah williams,appliances,85.0,shipped,pending,25,Male,4.0,north,Platinum,spain
,john smith,appliances,89.0,,completed,67,Female,3.0,east,Platinum,brazil
1031.0,jessica miller,electronics,39.0,pending,pending,33,Male,3.0,west,Platinum,russia
1032.0,jennifer johnson,electronics,245.0,delivered,,40,Male,3.0,east,Gold,unknown
1033.0,sarah brown,appliances,218.0,delivered,completed,46,Male,3.0,,Platinum,china
1034.0,,unknown,160.15555103700692,delivered,completed,27,Female,4.0,south,Gold,brazil
1035.0,jessica garcia,clothing,164.0,delivered,cancelled,29,Female,3.0,east,Silver,china
,john jones,electronics,160.15555103700692,pending,completed,69,Female,2.0,,Gold,china
1037.0,john johnson,appliances,160.15555103700692,delivered,completed,29,Male,3.0,west,Platinum,russia
,sarah williams,electronics,257.0,,completed,47,Female,2.0,,Standard,mexico
1039.0,daniel williams,electronics,89.0,,cancelled,27,Female,4.0,east,Silver,spain
,,books,185.0,delivered,cancelled,31,Male,1.0,north,Silver,france
1041.0,daniel williams,books,149.0,delivered,completed,21,Male,1.0,,Platinum,japan
1042.0,john smith,books,233.0,delivered,completed,64,Male,,east,Standard,france
1043.0,jessica jones,clothing,108.0,pending,completed,37,Female,1.0,south,Platinum,unknown
1044.0,daniel jones,appliances,271.0,pending,cancelled,58,Male,,east,Silver,japan
1045.0,daniel smith,appliances,91.0,shipped,completed,43,Female,3.0,west,Silver,russia
1046.0,vivaan kumar,unknown,184.0,shipped,completed,24,Male,3.0,west,Silver,india
1047.0,jennifer jones,unknown,68.0,delivered,,47,Female,2.0,east,Silver,mexico
1048.0,jennifer smith,books,71.0,delivered,completed,69,Unknown,,west,Silver,italy
1049.0,daniel williams,unknown,297.0,delivered,completed,58,Female,4.0,north,Gold,uk
1050.0,sarah williams,clothing,133.0,delivered,completed,41,Female,2.0,north,Standard,uk
1051.0,jessica brown,books,258.0,delivered,completed,27,Male,4.0,south,Gold,australia
1052.0,daniel miller,unknown,152.0,delivered,completed,69,Female,,east,Platinum,spain
1053.0,,books,293.0,delivered,completed,62,Female,1.0,south,Platinum,south africa
1054.0,aditi sharma,appliances,160.15555103700692,delivered,completed,55,Unknown,1.0,north,Silver,unknown
,john miller,unknown,262.0,shipped,completed,53,Male,4.0,south,Platinum,unknown
1056.0,david davis,appliances,160.15555103700692,delivered,completed,34,Male,1.0,west,Standard,russia
1057.0,john smith,appliances,160.15555103700692,delivered,cancelled,43,Female,1.0,east,Gold,italy
1058.0,jennifer miller,electronics,189.0,delivered,,63,Female,3.0,east,Platinum,russia
,jennifer garcia,books,142.0,shipped,,20,Male,4.0,east,Silver,south africa
1060.0,jennifer davis,electronics,195.0,,completed,43,Male,2.0,north,Silver,russia
1061.0,emily jones,books,101.0,,completed,35,Male,1.0,west,Platinum,china
1062.0,david miller,books,106.0,delivered,,19,Female,3.0,north,Platinum,south africa
1063.0,jessica garcia,unknown,244.0,cancelled,,57,Female,3.0,,Platinum,south korea
1064.0,john smith,electronics,35.0,delivered,,65,Unknown,1.0,west,Silver,germany
1065.0,john jones,books,182.0,shipped,,43,Female,2.0,east,Silver,spain
1066.0,john johnson,unknown,117.0,pending,completed,49,Female,2.0,north,Silver,south africa
1067.0,daniel davis,appliances,175.0,delivered,completed,36,Male,4.0,south,Gold,japan
1068.0,sarah miller,electronics,21.0,delivered,pending,37,Female,4.0,south,Silver,unknown
1069.0,michael smith,appliances,160.15555103700692,delivered,completed,59,Female,4.0,east,Silver,uk
1070.0,jennifer williams,clothing,111.0,delivered,completed,66,Male,3.0,north,Silver,south africa
1071.0,daniel smith,unknown,200.0,pending,completed,66,Male,2.0,west,Platinum,usa
1072.0,,clothing,250.0,,cancelled,24,Male,4.0,east,Standard,india
1073.0,john miller,electronics,167.0,pending,completed,26,Male,3.0,south,Gold,china
1074.0,john garcia,clothing,299.0,delivered,completed,24,Male,2.0,south,Standard,germany
1075.0,david brown,electronics,208.0,delivered,cancelled,44,Female,1.0,west,Platinum,germany
1076.0,jessica jones,clothing,147.0,,completed,38,Female,4.0,north,Gold,uk
,david brown,appliances,26.0,delivered,completed,52,Female,4.0,south,Gold,south africa
1078.0,daniel smith,appliances,66.0,delivered,completed,41,Male,2.0,north,Silver,france
1079.0,michael brown,books,72.0,delivered,completed,49,Male,1.0,north,Silver,usa
,sarah garcia,appliances,160.15555103700692,delivered,completed,29,Female,,south,Silver,china
,jessica jones,unknown,57.0,cancelled,cancelled,40,Female,3.0,south,Silver,china
1082.0,daniel williams,appliances,245.0,delivered,completed,53,Unknown,4.0,east,Standard,usa
1083.0,emily smith,electronics,72.0,shipped,completed,66,Male,1.0,north,Gold,uk
1084.0,vivaan sharma,appliances,243.0,delivered,completed,46,Female,3.0,east,Silver,india
1085.0,jessica garcia,unknown,173.0,delivered,completed,20,Female,4.0,,Gold,japan
1086.0,jessica jones,books,67.0,pending,completed,60,Female,,south,Platinum,japan
1087.0,,clothing,166.0,pending,completed,25,Male,4.0,north,Gold,uk
1088.0,jennifer davis,electronics,83.0,delivered,completed,51,Female,4.0,east,Silver,mexico
1089.0,,appliances,201.0,delivered,pending,31,Female,,north,Silver,japan
1090.0,jessica jones,clothing,144.0,delivered,completed,53,Male,,south,Silver,mexico
1091.0,jessica williams,appliances,198.0,delivered,completed,43,Female,1.0,east,Platinum,mexico
1092.0,,appliances,58.0,cancelled,completed,63,Male,2.0,north,Platinum,canada
1093.0,john brown,clothing,279.0,delivered,pending,49,Female,2.0,north,Gold,spain
1094.0,aarav patel,clothing,22.0,delivered,cancelled,24,Male,4.0,north,Gold,india
,jessica miller,clothing,160.15555103700692,cancelled,completed,27,Male,1.0,north,Silver,mexico
1096.0,david garcia,clothing,48.0,delivered,,29,Male,3.0,west,Silver,brazil
1097.0,jessica garcia,unknown,30.0,,completed,57,Male,1.0,north,Silver,canada
1098.0,aarav patel,appliances,160.15555103700692,delivered,completed,40,Male,3.0,south,Gold,india
1099.0,john davis,clothing,222.0,delivered,pending,28,Female,4.0,south,Silver,canada
1100.0,jennifer jones,electronics,40.0,delivered,completed,69,Male,4.0,east,Gold,south korea
1101.0,michael jones,books,58.0,,completed,30,Female,4.0,north,Gold,mexico
1102.0,vivaan patel,clothing,242.0,delivered,completed,29,Male,1.0,west,Silver,india
1103.0,david davis,clothing,121.0,pending,completed,24,Female,1.0,west,Silver,brazil
1104.0,jessica smith,appliances,65.0,pending,completed,61,Female,3.0,south,Gold,russia
1105.0,jennifer williams,unknown,85.0,delivered,completed,27,Female,3.0,west,Gold,unknown
1106.0,john brown,clothing,110.0,delivered,completed,43,Male,2.0,,Gold,france
1107.0,john johnson,clothing,183.0,delivered,completed,68,Female,4.0,north,Gold,south korea
1108.0,sarah williams,appliances,130.0,delivered,completed,44,Unknown,3.0,east,Platinum,china
1109.0,daniel johnson,clothing,142.0,shipped,completed,24,Male,1.0,north,Silver,south africa
1110.0,emily miller,unknown,212.0,delivered,completed,67,Female,3.0,west,Gold,spain
1111.0,john johnson,appliances,118.0,delivered,completed,41,Female,2.0,east,Standard,uk
1112.0,david jones,books,178.0,delivered,,40,Unknown,1.0,east,Platinum,russia
1113.0,sarah williams,appliances,122.0,delivered,cancelled,42,Male,1.0,south,Gold,south africa
1114.0,john williams,clothing,62.0,,completed,61,Male,1.0,east,Platinum,mexico
1115.0,emily smith,books,103.0,shipped,completed,53,Male,3.0,south,Platinum,south africa
1116.0,daniel williams,appliances,160.15555103700692,cancelled,,50,Female,4.0,west,Platinum,canada
,emily johnson,electronics,70.0,shipped,completed,54,Female,4.0,south,Silver,france
,,unknown,229.0,cancelled,completed,59,Male,4.0,north,Gold,uk
1119.0,sarah brown,appliances,145.0,cancelled,completed,56,Female,4.0,west,Silver,italy
1120.0,john miller,electronics,88.0,delivered,completed,69,Female,4.0,,Platinum,japan
1121.0,emily jones,appliances,284.0,delivered,cancelled,24,Male,1.0,west,Platinum,mexico
1122.0,john davis,electronics,277.0,,cancelled,47,Female,1.0,east,Platinum,germany
1123.0,jessica williams,clothing,207.0,delivered,completed,48,Female,3.0,west,Silver,unknown
1124.0,sarah miller,books,249.0,delivered,completed,62,Male,1.0,north,Gold,mexico
1125.0,michael brown,electronics,208.0,delivered,completed,63,Female,3.0,west,Platinum,usa
1126.0,vivaan kumar,appliances,29.0,delivered,completed,54,Male,3.0,,Silver,india
1127.0,aarav singh,clothing,133.0,,completed,38,Unknown,2.0,,Silver,india
1128.0,jessica williams,electronics,95.0,delivered,completed,51,Female,1.0,north,Silver,mexico
1129.0,michael johnson,appliances,183.0,delivered,completed,63,Male,3.0,,Silver,usa
1130.0,david jones,appliances,104.0,shipped,completed,38,Female,,west,Gold,france
